bcb
  PID  PPID COMM
  723     1 /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock
  724     1 /usr/sbin/distnoted
  725     1 /System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter
  726     1 /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIServer
  727     1 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
  732     1 /System/Library/PrivateFrameworks/FileProvider.framework/Support/fileproviderd
  733     1 /usr/sbin/filecoordinationd
  734     1 /System/Library/CoreServices/WallpaperAgent.app/Contents/MacOS/WallpaperAgent
  737     1 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
  739     1 /System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/Support/suggestd
  743     1 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
  744     1 /usr/libexec/intelligentroutingd
  745     1 /System/Library/CoreServices/audioaccessoryd
  747     1 automountd
  750     1 /System/Library/PrivateFrameworks/AMPDevices.framework/Versions/A/Support/AMPDeviceDiscoveryAgent
  756     1 /System/Library/ExtensionKit/Extensions/WallpaperAerialsExtension.appex/Contents/MacOS/WallpaperAerialsExtension
  758     1 /System/Library/CoreServices/UIKitSystem.app/Contents/MacOS/UIKitSystem
  765     1 /usr/libexec/rosetta/oahd
  766     1 /System/Library/PrivateFrameworks/CommunicationsFilter.framework/CMFSyncAgent
  770     1 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
  771     1 /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
  777     1 /System/Library/PrivateFrameworks/StatusKit.framework/StatusKitAgent
  779     1 /System/Library/PrivateFrameworks/ScreenTimeCore.framework/Versions/A/ScreenTimeAgent
  782     1 /System/Library/PrivateFrameworks/MediaAnalysis.framework/Versions/A/mediaanalysisd
  783     1 /usr/libexec/gamepolicyd
  789     1 /System/Library/PrivateFrameworks/FamilyCircle.framework/Versions/A/Resources/familycircled
  791     1 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
  792     1 /System/Library/PrivateFrameworks/UserActivity.framework/Agents/useractivityd
  793     1 /System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.dock.extra.xpc/Contents/MacOS/com.apple.dock.extra
  796     1 /System/Applications/Photos.app/Contents/PlugIns/PhotosReliveWidget.appex/Contents/MacOS/PhotosReliveWidget
  806     1 /System/Applications/Calendar.app/Contents/PlugIns/CalendarWidgetExtension.appex/Contents/MacOS/CalendarWidgetExtension
  814     1 /System/Library/PrivateFrameworks/AppleMediaServices.framework/Resources/amsaccountsd
  827     1 /System/Library/Frameworks/OpenGL.framework/Versions/A/Libraries/CVMServer
  836     1 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoteagent
  837     1 /usr/libexec/avconferenced
  841     1 /System/Cryptexes/App/usr/libexec/com.apple.Safari.History
  848     1 /System/Library/PrivateFrameworks/UniversalAccess.framework/Versions/A/Resources/universalAccessAuthWarn.app/Contents/MacOS/universalAccessAuthWarn
  850     1 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
  854     1 /System/Library/CoreServices/Spotlight.app/Contents/MacOS/Spotlight
  860     1 Contents/Library/LaunchAgents/Perplexity Helper.app/Contents/MacOS/perplexityd
  863     1 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Networking.xpc/Contents/MacOS/com.apple.WebKit.Networking
  864     1 /Applications/AdGuard for Safari.app/Contents/PlugIns/PopupExtension.appex/Contents/MacOS/PopupExtension
  868     1 /System/Library/PrivateFrameworks/PassKitCore.framework/passd
  870     1 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd
  872     1 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.GPU.xpc/Contents/MacOS/com.apple.WebKit.GPU
  878     1 /System/Library/CoreServices/SubmitDiagInfo
  894     1 /usr/sbin/distnoted
  897     1 /System/Library/PrivateFrameworks/TextInputUIMacHelper.framework/Versions/A/XPCServices/CursorUIViewService.xpc/Contents/MacOS/CursorUIViewService
  910   334 /usr/sbin/systemstats
  911     1 /System/Library/PrivateFrameworks/CoreFP.framework/Versions/A/fairplayd
  915     1 /System/Library/PrivateFrameworks/AMPSharing.framework/Versions/A/Support/mediasharingd
  921     1 /usr/libexec/aned
  941     1 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Networking.xpc/Contents/MacOS/com.apple.WebKit.Networking
  945     1 /usr/sbin/distnoted
  946     1 /System/Library/CoreServices/PeopleMessageService.app/Contents/PlugIns/PeopleMessagesAskToBuy.appex/Contents/MacOS/PeopleMessagesAskToBuy
  974     1 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mdwrite
  975     1 /System/Library/PrivateFrameworks/LocalAuthenticationUI.framework/Versions/A/XPCServices/LocalAuthenticationRemoteService.xpc/Contents/MacOS/LocalAuthenticationRemoteService
  977     1 /System/Library/Frameworks/GroupActivities.framework/Versions/A/XPCServices/GroupSessionService.xpc/Contents/MacOS/GroupSessionService
 1046     1 /Applications/Gemini.app/Contents/Helpers/crashpad_handler
 1144     1 /System/iOSSupport/System/Library/PrivateFrameworks/AvatarUI.framework/PlugIns/AvatarPickerMemojiPicker.appex/Contents/MacOS/AvatarPickerMemojiPicker
 1308     1 /Applications/Brave Browser.app/Contents/Frameworks/Brave Browser Framework.framework/Versions/151.1.93.129/Helpers/chrome_crashpad_handler
 1401     1 /Applications/Gemini.app/Contents/Helpers/GeminiAppLauncher.app/Contents/MacOS/GeminiAppLauncher
 1560     1 /Applications/Gemini.app/Contents/Helpers/crashpad_handler
 1679     1 /usr/bin/ssh-agent
 1947   710 /Applications/Brave Browser.app/Contents/Frameworks/Brave Browser Framework.framework/Versions/151.1.93.129/Helpers/Brave Browser Helper.app/Contents/MacOS/Brave Browser Helper
 1959   710 /Applications/Brave Browser.app/Contents/Frameworks/Brave Browser Framework.framework/Versions/151.1.93.129/Helpers/Brave Browser Helper.app/Contents/MacOS/Brave Browser Helper
 1988 97095 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper.app/Contents/MacOS/Code Helper
 2072   710 /Applications/Brave Browser.app/Contents/Frameworks/Brave Browser Framework.framework/Versions/151.1.93.129/Helpers/Brave Browser Helper.app/Contents/MacOS/Brave Browser Helper
 2566   710 /Applications/Brave Browser.app/Contents/Frameworks/Brave Browser Framework.framework/Versions/151.1.93.129/Helpers/Brave Browser Helper (Renderer).app/Contents/MacOS/Brave Browser Helper (Renderer)
 2731     1 /System/Library/Image Capture/Support/icdd
 2734     1 /System/Library/Frameworks/ImageCaptureCore.framework/Versions/A/XPCServices/mscamerad-xpc.xpc/Contents/MacOS/mscamerad-xpc
 2737     1 /usr/libexec/ptpcamerad
 2801   710 /Applications/Brave Browser.app/Contents/Frameworks/Brave Browser Framework.framework/Versions/151.1.93.129/Helpers/Brave Browser Helper (Renderer).app/Contents/MacOS/Brave Browser Helper (Renderer)
 2873     1 /System/Library/Frameworks/InputMethodKit.framework/Resources/imklaunchagent
 2908   710 /Applications/Brave Browser.app/Contents/Frameworks/Brave Browser Framework.framework/Versions/151.1.93.129/Helpers/Brave Browser Helper (Renderer).app/Contents/MacOS/Brave Browser Helper (Renderer)
 2917     1 /System/Library/Input Methods/PressAndHold.app/Contents/PlugIns/PAH_Extension.appex/Contents/MacOS/PAH_Extension
 3051   710 /Applications/Brave Browser.app/Contents/Frameworks/Brave Browser Framework.framework/Versions/151.1.93.129/Helpers/Brave Browser Helper (Renderer).app/Contents/MacOS/Brave Browser Helper (Renderer)
 3246     1 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mdbulkimport
 3264   710 /Applications/Brave Browser.app/Contents/Frameworks/Brave Browser Framework.framework/Versions/151.1.93.129/Helpers/Brave Browser Helper (Renderer).app/Contents/MacOS/Brave Browser Helper (Renderer)
 3471   710 /Applications/Brave Browser.app/Contents/Frameworks/Brave Browser Framework.framework/Versions/151.1.93.129/Helpers/Brave Browser Helper (Renderer).app/Contents/MacOS/Brave Browser Helper (Renderer)
 3680     1 /usr/sbin/distnoted
 3829   710 /Applications/Brave Browser.app/Contents/Frameworks/Brave Browser Framework.framework/Versions/151.1.93.129/Helpers/Brave Browser Helper (Renderer).app/Contents/MacOS/Brave Browser Helper (Renderer)
 4080     1 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.GPU.xpc/Contents/MacOS/com.apple.WebKit.GPU
 4099     1 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Networking.xpc/Contents/MacOS/com.apple.WebKit.Networking
