  PID  PPID USER                 ELAPSED COMM
  614     1 root             06-04:09:17 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
  615     1 bcb              06-04:09:17 /usr/sbin/distnoted
  616     1 bcb              06-04:09:17 /usr/sbin/cfprefsd
  617     1 root             06-04:09:17 /usr/libexec/applekeystored
  619     1 bcb              06-04:09:17 /usr/libexec/secd
  620     1 root             06-04:09:17 /System/Library/PrivateFrameworks/CoreKDL.framework/Support/corekdld
  621     1 bcb              06-04:09:17 /usr/libexec/UserEventAgent
  622     1 _gamecontrollerd 06-04:09:17 /usr/libexec/gamecontrollerd
  623     1 bcb              06-04:09:17 /System/Library/CoreServices/WindowManager.app/Contents/MacOS/WindowManager
  624     1 _applepay        06-04:09:17 /usr/libexec/seld
  625     1 bcb              06-04:09:17 /usr/libexec/ContinuityCaptureAgent
  628     1 bcb              06-04:09:17 /usr/libexec/knowledge-agent
  629     1 bcb              06-04:09:17 /usr/libexec/neagent
  631     1 bcb              06-04:09:17 /System/Library/CoreServices/CoreServicesUIAgent.app/Contents/MacOS/CoreServicesUIAgent
  632     1 bcb              06-04:09:17 /usr/sbin/universalaccessd
  633     1 bcb              06-04:09:17 /System/Library/PrivateFrameworks/CloudServices.framework/Helpers/com.apple.sbd
  634     1 bcb              06-04:09:17 /usr/libexec/pboard
  635     1 bcb              06-04:09:17 /usr/libexec/containermanagerd
  636     1 bcb              06-04:09:17 /usr/libexec/lsd
  637     1 bcb              06-04:09:17 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/BiomeAgent
  638     1 bcb              06-04:09:17 /usr/libexec/linkd
  639     1 bcb              06-04:09:17 /System/Library/PrivateFrameworks/UniversalAccess.framework/Versions/A/Resources/AXVisualSupportAgent.app/Contents/MacOS/AXVisualSupportAgent
  640     1 bcb              06-04:09:17 /System/Library/PrivateFrameworks/AccessibilitySupport.framework/Versions/A/Resources/AccessibilityVisualsAgent.app/Contents/MacOS/AccessibilityVisualsAgent
  641     1 bcb              06-04:09:17 /System/Library/PrivateFrameworks/BackgroundTaskManagement.framework/Support/BackgroundTaskManagementAgent.app/Contents/MacOS/BackgroundTaskManagementAgent
  642     1 bcb              06-04:09:17 /System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter
  644     1 bcb              06-04:09:17 /usr/libexec/mobilerepaird
  645     1 bcb              06-04:09:17 /usr/libexec/nsurlsessiond
  647     1 bcb              06-04:09:17 /usr/libexec/rapportd
  648     1 bcb              06-04:09:17 /usr/sbin/usernoted
  649     1 bcb              06-04:09:17 /usr/libexec/routined
  650     1 bcb              06-04:09:17 /System/Library/PrivateFrameworks/UserNotificationsCore.framework/Support/usernotificationsd
  651     1 _appleevents     06-04:09:17 /usr/sbin/distnoted
  652     1 bcb              06-04:09:17 /usr/libexec/secinitd
  653     1 bcb              06-04:09:17 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/ContextStoreAgent
  655     1 bcb              06-04:09:17 /System/Library/CoreServices/CoreLocationAgent.app/Contents/MacOS/CoreLocationAgent
